asof_date,ticker,name,pe_ttm,pe_forward,source
2026-07-17,DIA,State Street SPDR Dow Jones Ind,24.7989,,yfinance
2026-07-17,EEM,iShares MSCI Emerging Index Fun,16.541481,,yfinance
2026-07-17,EFA,iShares MSCI EAFE ETF,18.83034,,yfinance
2026-07-17,EWJ,iShares MSCI Japan Index Fund,18.337112,,yfinance
2026-07-17,IWM,iShares Russell 2000 Index Fund,18.313503,,yfinance
2026-07-17,MDY,State Street SPDR S&P MIDCAP 40,22.15551,,yfinance
2026-07-17,QQQ,"Invesco QQQ Trust, Series 1",31.326292,,yfinance
2026-07-17,SPY,State Street SPDR S&P 500 ETF T,27.003521,,yfinance
2026-07-17,VGK,Vanguard FTSEEuropean ETF,18.360006,,yfinance
2026-07-18,DIA,State Street SPDR Dow Jones Ind,24.60895,,yfinance
2026-07-18,EEM,iShares MSCI Emerging Index Fun,16.309555,,yfinance
2026-07-18,EFA,iShares MSCI EAFE ETF,18.74327,,yfinance
2026-07-18,EWJ,iShares MSCI Japan Index Fund,18.053804,,yfinance
2026-07-18,IWM,iShares Russell 2000 Index Fund,18.217472,,yfinance
2026-07-18,MDY,State Street SPDR S&P MIDCAP 40,22.019955,,yfinance
2026-07-18,QQQ,"Invesco QQQ Trust, Series 1",30.85547,,yfinance
2026-07-18,SPY,State Street SPDR S&P 500 ETF T,26.736263,,yfinance
2026-07-18,VGK,Vanguard FTSEEuropean ETF,18.31865,,yfinance
2026-07-19,DIA,Dow Jones Industrial Average,24.60895,,yfinance
2026-07-19,EEM,MSCI Emerging Markets,16.309555,,yfinance
2026-07-19,EFA,iShares MSCI EAFE ETF,18.74327,,yfinance
2026-07-19,EWJ,MSCI Japan,18.053804,,yfinance
2026-07-19,IWM,iShares Russell 2000 Index Fund,18.217472,,yfinance
2026-07-19,MDY,State Street SPDR S&P MIDCAP 40,22.019955,,yfinance
2026-07-19,QQQ,"Invesco QQQ Trust, Series 1",30.85547,,yfinance
2026-07-19,SPY,State Street SPDR S&P 500 ETF T,26.736263,,yfinance
2026-07-19,VGK,FTSE Developed Europe,18.31865,,yfinance
2026-07-20,DIA,State Street SPDR Dow Jones Ind,24.60895,,yfinance
2026-07-20,EEM,iShares MSCI Emerging Index Fun,16.309555,,yfinance
2026-07-20,EFA,iShares MSCI EAFE ETF,18.74327,,yfinance
2026-07-20,EWJ,iShares MSCI Japan Index Fund,18.053804,,yfinance
2026-07-20,IWM,iShares Russell 2000 Index Fund,18.217472,,yfinance
2026-07-20,MDY,State Street SPDR S&P MIDCAP 40,22.019955,,yfinance
2026-07-20,QQQ,"Invesco QQQ Trust, Series 1",30.85547,,yfinance
2026-07-20,SPY,State Street SPDR S&P 500 ETF T,26.736263,,yfinance
2026-07-20,VGK,Vanguard FTSEEuropean ETF,18.31865,,yfinance
2026-07-21,DIA,State Street SPDR Dow Jones Ind,24.47334,,yfinance
2026-07-21,EEM,iShares MSCI Emerging Index Fun,16.379133,,yfinance
2026-07-21,EFA,iShares MSCI EAFE ETF,18.605413,,yfinance
2026-07-21,EWJ,iShares MSCI Japan Index Fund,18.041834,,yfinance
2026-07-21,IWM,iShares Russell 2000 Index Fund,18.110289,,yfinance
2026-07-21,MDY,State Street SPDR S&P MIDCAP 40,21.846992,,yfinance
2026-07-21,QQQ,"Invesco QQQ Trust, Series 1",30.887863,,yfinance
2026-07-21,SPY,State Street SPDR S&P 500 ETF T,26.6931,,yfinance
2026-07-21,VGK,Vanguard FTSEEuropean ETF,18.13255,,yfinance
2026-07-22,EFA,iShares MSCI EAFE ETF,18.875687,,yfinance
2026-07-22,IWM,iShares Russell 2000 Index Fund,18.372362,,yfinance
2026-07-22,MDY,State Street SPDR S&P MIDCAP 40,21.751492,,yfinance
2026-07-22,QQQ,"Invesco QQQ Trust, Series 1",31.460747,,yfinance
2026-07-22,SPY,State Street SPDR S&P 500 ETF T,26.915756,,yfinance
2026-07-23,DIA,State Street SPDR Dow Jones Ind,24.640135,,yfinance
2026-07-23,EEM,iShares MSCI Emerging Index Fun,16.747637,,yfinance
2026-07-23,EFA,iShares MSCI EAFE ETF,18.910152,,yfinance
2026-07-23,EWJ,iShares MSCI Japan Index Fund,18.392975,,yfinance
2026-07-23,IWM,iShares Russell 2000 Index Fund,18.201984,,yfinance
2026-07-23,MDY,State Street SPDR S&P MIDCAP 40,21.74204,,yfinance
2026-07-23,QQQ,"Invesco QQQ Trust, Series 1",31.300108,,yfinance
2026-07-23,SPY,State Street SPDR S&P 500 ETF T,26.88446,,yfinance
2026-07-23,VGK,Vanguard FTSEEuropean ETF,18.42204,,yfinance
2026-07-24,DIA,State Street SPDR Dow Jones Ind,24.393957,,yfinance
2026-07-24,EEM,iShares MSCI Emerging Index Fun,16.647137,,yfinance
2026-07-24,EFA,iShares MSCI EAFE ETF,18.665272,,yfinance
2026-07-24,EWJ,iShares MSCI Japan Index Fund,18.175507,,yfinance
2026-07-24,IWM,iShares Russell 2000 Index Fund,18.096659,,yfinance
2026-07-24,MDY,State Street SPDR S&P MIDCAP 40,21.67273,,yfinance
2026-07-24,QQQ,"Invesco QQQ Trust, Series 1",30.705925,,yfinance
2026-07-24,SPY,State Street SPDR S&P 500 ETF T,26.552456,,yfinance
2026-07-24,VGK,Vanguard FTSEEuropean ETF,18.161499,,yfinance
