row_id,Symbol,Name,Ticker Type,Broad Asset Class,Region,Sub-Category,Currency,Last Price,Last Date,Local Perf 1W,USD Perf 1W,Local Perf 1M,USD Perf 1M,Local Perf 3M,USD Perf 3M,Local Perf 6M,USD Perf 6M,Local Perf YTD,USD Perf YTD,Local Perf 1Y,USD Perf 1Y,Local Perf 1W (bps),Local Perf 1M (bps),Local Perf 3M (bps),Local Perf 6M (bps),Local Perf YTD (bps),Local Perf 1Y (bps)
1,IWDA.L,iShares Core MSCI World UCITS ETF,Total Return (ETF),Equity,Global,Equity Broad,GBP,,2026-06-25,,,,,,,,,,,,,,,,,,
2,ACWI,iShares MSCI ACWI ETF,Total Return (ETF),Equity,Global,Equity Broad,USD,154.28,2026-06-26,-2.1,-2.1,-1.5,-1.5,15.72,15.72,8.67,8.67,8.98,8.98,22.89,22.89,,,,,,
3,URTH,iShares MSCI World ETF,Total Return (ETF),Equity,Global,Equity Broad,USD,197.36,2026-06-26,-2.48,-2.48,-2.56,-2.56,13.57,13.57,5.79,5.79,6.53,6.53,19.43,19.43,,,,,,
4,WSML.L,iShares MSCI World Small Cap UCITS ETF,Total Return (ETF),Equity,Global,Equity Small Cap,USD,,2026-06-25,,,,,,,,,,,,,,,,,,
5,KXI,iShares Global Consumer Staples ETF,Price Return (Index),Equity,Global,Equity Sector,USD,68.66,2026-06-26,3.23,3.23,0.78,0.78,3.84,3.84,6.89,6.89,7.52,7.52,8.73,8.73,,,,,,
6,IXJ,iShares Global Healthcare ETF,Price Return (Index),Equity,Global,Equity Sector,USD,98.89,2026-06-26,5.79,5.79,5.97,5.97,8.75,8.75,1.61,1.61,2.08,2.08,17.09,17.09,,,,,,
7,JXI,iShares Global Utilities ETF,Price Return (Index),Equity,Global,Equity Sector,USD,85.52,2026-06-26,2.28,2.28,1.54,1.54,1.03,1.03,10.16,10.16,9.05,9.05,19.67,19.67,,,,,,
8,EXI,iShares Global Industrials ETF,Price Return (Index),Equity,Global,Equity Sector,USD,196.6,2026-06-26,-1.75,-1.75,1.02,1.02,12.9,12.9,11.79,11.79,11.25,11.25,22.07,22.07,,,,,,
9,IXC,iShares Global Energy ETF,Price Return (Index),Equity,Global,Equity Sector,USD,49.55,2026-06-26,-1.63,-1.63,-6.63,-6.63,-13.5,-13.5,21.16,21.16,17.23,17.23,29.49,29.49,,,,,,
10,IXN,iShares Global Tech ETF,Price Return (Index),Equity,Global,Equity Sector,USD,138.15,2026-06-26,-6.15,-6.15,-0.74,-0.74,44.44,44.44,30.0,30.0,30.61,30.61,52.45,52.45,,,,,,
11,RXI,iShares Global Consumer Discretionary ETF,Price Return (Index),Equity,Global,Equity Sector,USD,191.77,2026-06-26,-0.38,-0.38,-4.54,-4.54,6.45,6.45,-7.5,-7.5,-6.29,-6.29,4.41,4.41,,,,,,
12,IXG,iShares Global Financials ETF,Price Return (Index),Equity,Global,Equity Sector,USD,123.97,2026-06-26,-1.27,-1.27,3.12,3.12,13.46,13.46,2.7,2.7,3.3,3.3,15.3,15.3,,,,,,
